[ERROR] 2016-06-12 11:54:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:54:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:54:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:54:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:54:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:54:30| start report Job :Sun Jun 12 11:54:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:54:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:54:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:54:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:54:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:54:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:55:00| start report Job :Sun Jun 12 11:55:00 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:55:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:55:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:55:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:55:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:55:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:55:30| start report Job :Sun Jun 12 11:55:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:55:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:55:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:55:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:55:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:55:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:56:00| start report Job :Sun Jun 12 11:56:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:56:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:56:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:56:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:56:00| wrong URI, line number:4 | LoggerUtil.java.error 13
